SeniorCitizen,tenure,MonthlyCharges,Churn,TotalCharges_scaled,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_FE,MultipleLines_FE,InternetService_FE,OnlineSecurity_FE,OnlineBackup_FE,DeviceProtection_FE,TechSupport_FE,StreamingTV_FE,StreamingMovies_FE,Contract_FE,PaperlessBilling_FE,PaymentMethod_FE
0,1,29.85,0,0.001275098084468036,1,0,0,1,1,0,0.09683373562402385,0.09683373562402385,0.34374556297032516,0.4966633536845094,0.3448814425670879,0.43944341899758627,0.4931137299446259,0.3989777083629135,0.39542808462303,0.5501916796819537,0.5922192247621753,0.3357944057929859
0,34,56.95,0,0.21586660512347106,0,1,1,0,1,0,0.9031662643759761,0.48132897912821243,0.34374556297032516,0.2866676132329973,0.43844952435041884,0.3438875479199205,0.4931137299446259,0.3989777083629135,0.39542808462303,0.20914383075394008,0.4077807752378248,0.22887973874769274
0,2,53.85,1,0.010310408492960998,0,1,1,0,1,0,0.9031662643759761,0.48132897912821243,0.34374556297032516,0.2866676132329973,0.3448814425670879,0.43944341899758627,0.4931137299446259,0.3989777083629135,0.39542808462303,0.5501916796819537,0.5922192247621753,0.22887973874769274
0,45,42.3,0,0.21024117239787676,0,1,1,0,1,0,0.09683373562402385,0.09683373562402385,0.34374556297032516,0.2866676132329973,0.43844952435041884,0.3438875479199205,0.2902172369728809,0.3989777083629135,0.39542808462303,0.20914383075394008,0.4077807752378248,0.21922476217520942
0,2,70.7,1,0.015330025386568198,1,0,1,0,1,0,0.9031662643759761,0.48132897912821243,0.4395854039471816,0.4966633536845094,0.43844952435041884,0.43944341899758627,0.4931137299446259,0.3989777083629135,0.39542808462303,0.5501916796819537,0.5922192247621753,0.3357944057929859
0,8,99.65,1,0.09251096238172168,1,0,1,0,1,0,0.9031662643759761,0.42183728524776376,0.4395854039471816,0.4966633536845094,0.43844952435041884,0.3438875479199205,0.4931137299446259,0.38435325855459324,0.3879028822944768,0.5501916796819537,0.5922192247621753,0.3357944057929859
0,22,89.1,0,0.22277867528271408,0,1,1,0,0,1,0.9031662643759761,0.42183728524776376,0.4395854039471816,0.4966633536845094,0.3448814425670879,0.43944341899758627,0.4931137299446259,0.38435325855459324,0.39542808462303,0.5501916796819537,0.5922192247621753,0.2161010932841119
0,10,29.75,0,0.032667897530579276,1,0,1,0,1,0,0.09683373562402385,0.09683373562402385,0.34374556297032516,0.2866676132329973,0.43844952435041884,0.43944341899758627,0.4931137299446259,0.3989777083629135,0.39542808462303,0.5501916796819537,0.4077807752378248,0.22887973874769274
0,28,104.8,1,0.3493249480729287,1,0,0,1,1,0,0.9031662643759761,0.42183728524776376,0.4395854039471816,0.4966633536845094,0.43844952435041884,0.3438875479199205,0.2902172369728809,0.38435325855459324,0.3879028822944768,0.5501916796819537,0.5922192247621753,0.3357944057929859
0,62,56.15,0,0.4003173321024694,0,1,1,0,0,1,0.9031662643759761,0.48132897912821243,0.34374556297032516,0.2866676132329973,0.3448814425670879,0.43944341899758627,0.4931137299446259,0.3989777083629135,0.39542808462303,0.20914383075394008,0.4077807752378248,0.21922476217520942
0,13,49.95,0,0.06561850911608587,0,1,0,1,0,1,0.9031662643759761,0.48132897912821243,0.34374556297032516,0.2866676132329973,0.43844952435041884,0.43944341899758627,0.4931137299446259,0.3989777083629135,0.39542808462303,0.5501916796819537,0.5922192247621753,0.22887973874769274
0,16,18.95,0,0.035541195476575124,0,1,1,0,1,0,0.9031662643759761,0.48132897912821243,0.21666903308249325,0.21666903308249325,0.21666903308249325,0.21666903308249325,0.21666903308249325,0.21666903308249325,0.21666903308249325,0.24066448956410622,0.4077807752378248,0.2161010932841119
0,58,100.35,0,0.6533925686591276,0,1,0,1,1,0,0.9031662643759761,0.42183728524776376,0.4395854039471816,0.4966633536845094,0.43844952435041884,0.3438875479199205,0.4931137299446259,0.38435325855459324,0.3879028822944768,0.20914383075394008,0.4077807752378248,0.2161010932841119
0,49,103.7,1,0.578986845141934,0,1,1,0,1,0,0.9031662643759761,0.42183728524776376,0.4395854039471816,0.4966633536845094,0.3448814425670879,0.3438875479199205,0.4931137299446259,0.38435325855459324,0.3879028822944768,0.5501916796819537,0.5922192247621753,0.21922476217520942
0,25,105.5,0,0.30778329102238633,0,1,1,0,1,0,0.9031662643759761,0.48132897912821243,0.4395854039471816,0.2866676132329973,0.43844952435041884,0.3438875479199205,0.2902172369728809,0.38435325855459324,0.3879028822944768,0.5501916796819537,0.5922192247621753,0.3357944057929859
0,69,113.25,0,0.9088795291945534,1,0,0,1,0,1,0.9031662643759761,0.42183728524776376,0.4395854039471816,0.2866676132329973,0.3448814425670879,0.3438875479199205,0.2902172369728809,0.38435325855459324,0.3879028822944768,0.24066448956410622,0.4077807752378248,0.2161010932841119
0,52,20.65,0,0.11587237479806141,1,0,1,0,1,0,0.9031662643759761,0.48132897912821243,0.21666903308249325,0.21666903308249325,0.21666903308249325,0.21666903308249325,0.21666903308249325,0.21666903308249325,0.21666903308249325,0.20914383075394008,0.4077807752378248,0.22887973874769274
